n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
3500,0.400000,3,8,241311,1300991,182,0,0,0.566012,1.942491,0.626547,0.407809,0.254645,3.947430
3500,0.600000,3,1,241311,311938,5640776,1,1,0.595061,3.413832,0.000001,0.147032,0.310625,4.474816
3500,0.600000,3,2,241311,311938,5640776,1,1,0.593847,1.716343,0.107736,0.260877,0.311488,3.001984
3500,0.600000,3,4,241311,311938,5640776,1,1,0.573044,0.964138,0.321161,0.175160,0.314449,2.370976
3500,0.600000,3,8,241311,311938,5640776,1,1,0.571751,0.537014,0.756615,0.188755,0.314299,2.408168
3500,0.800000,3,1,241311,17265,9780053,1,1,0.529062,0.594131,0.000000,0.025855,0.023738,1.173048
3500,0.800000,3,2,241311,17265,9780053,1,1,0.542723,0.304379,0.007575,0.031528,0.023935,0.910477
3500,0.800000,3,4,241311,17265,9780053,1,1,0.541177,0.170279,0.025071,0.025563,0.023931,0.786575
3500,0.800000,3,8,241311,17265,9780053,1,1,0.525437,0.095209,0.055963,0.023871,0.023942,0.725412
3500,1.000000,3,1,241311,1,12250000,1,1,0.503505,0.418915,0.000000,0.005490,0.000412,0.928333
3500,1.000000,3,2,241311,1,12250000,1,1,0.553471,0.210949,0.000249,0.013054,0.000411,0.778146
3500,1.000000,3,4,241311,1,12250000,1,1,0.499778,0.114807,0.000655,0.111199,0.000413,0.726864
3500,1.000000,3,8,241311,1,12250000,1,1,0.535682,0.062638,0.001559,0.014937,0.000413,0.615241
4000,0.000000,3,1,241311,0,0,0,0,0.618457,0.019100,0.000000,0.005603,0.000041,0.643201
4000,0.000000,3,2,241311,0,0,0,0,0.615636,0.009844,0.000023,0.007369,0.000043,0.632914
4000,0.000000,3,4,241311,0,0,0,0,0.603898,0.005702,0.000051,0.007212,0.000040,0.616902
4000,0.000000,3,8,241311,0,0,0,0,0.616657,0.004204,0.000108,0.006801,0.000043,0.627813
4000,0.200000,3,1,241311,1945305,27,0,0,0.679391,21.515305,0.000001,0.680287,0.069648,22.986156
4000,0.200000,3,2,241311,1945305,27,0,0,0.708785,10.832416,0.022949,1.027216,0.070197,12.717597
4000,0.200000,3,4,241311,1945305,27,0,0,0.706275,6.031948,0.086361,0.561916,0.071741,7.547222
4000,0.200000,3,8,241311,1945305,27,0,0,0.682308,3.247608,0.192127,0.365013,0.069812,4.705344
4000,0.400000,3,1,241311,1698743,184,0,0,0.757097,19.132190,0.000001,0.603459,0.336177,20.875742
4000,0.400000,3,2,241311,1698743,184,0,0,0.754308,9.669816,0.108245,0.842705,0.335084,11.782315
4000,0.400000,3,4,241311,1698743,184,0,0,0.731364,5.350627,0.350454,0.410095,0.328172,7.268657
4000,0.400000,3,8,241311,1698743,184,0,0,0.751890,2.894373,0.854355,0.543576,0.335561,5.554356
4000,0.600000,3,1,241311,405695,7383202,1,1,0.751635,5.063863,0.000001,0.138748,0.391465,6.356498
4000,0.600000,3,2,241311,405695,7383202,1,1,0.734135,2.638098,0.138354,0.238497,0.390627,4.154455
4000,0.600000,3,4,241311,405695,7383202,1,1,0.749012,1.430759,0.414828,0.246416,0.402139,3.271500
4000,0.600000,3,8,241311,405695,7383202,1,1,0.765202,0.782049,0.993816,0.274842,0.390669,3.254911
4000,0.800000,3,1,241311,22450,12773410,1,1,0.690864,0.810763,0.000000,0.013506,0.029371,1.544959
4000,0.800000,3,2,241311,22450,12773410,1,1,0.681033,0.421863,0.008739,0.037907,0.029421,1.179539
4000,0.800000,3,4,241311,22450,12773410,1,1,0.699743,0.236441,0.028478,0.189769,0.029641,1.185186
4000,0.800000,3,8,241311,22450,12773410,1,1,0.678921,0.129409,0.067679,0.020864,0.029525,0.928045
4000,1.000000,3,1,241311,1,16000000,1,1,0.656754,0.538673,0.000000,0.006879,0.000478,1.202797
4000,1.000000,3,2,241311,1,16000000,1,1,0.642635,0.273624,0.000275,0.017233,0.000467,0.934248
4000,1.000000,3,4,241311,1,16000000,1,1,0.642797,0.150447,0.000768,0.118841,0.000468,0.913334
4000,1.000000,3,8,241311,1,16000000,1,1,0.643280,0.080867,0.001768,0.001977,0.000525,0.728431
4500,0.000000,3,1,241311,0,0,0,0,0.788154,0.024372,0.000000,0.001549,0.000050,0.814125
4500,0.000000,3,2,241311,0,0,0,0,0.776642,0.012267,0.000026,0.005482,0.000043,0.794461
4500,0.000000,3,4,241311,0,0,0,0,0.802986,0.007462,0.000057,0.016592,0.000044,0.827141
4500,0.000000,3,8,241311,0,0,0,0,0.778834,0.004933,0.000121,0.005036,0.000043,0.788966
4500,0.200000,3,1,241311,2460892,25,0,0,0.901069,30.731277,0.000001,0.947841,0.084882,32.715022
4500,0.200000,3,2,241311,2460892,25,0,0,0.840218,15.449249,0.033686,1.590262,0.090370,18.075444
4500,0.200000,3,4,241311,2460892,25,0,0,0.865705,8.532276,0.099375,0.715524,0.087951,10.410713
4500,0.200000,3,8,241311,2460892,25,0,0,0.826870,4.633724,0.226730,0.453053,0.089306,6.434791
4500,0.400000,3,1,241311,2147120,144,0,0,0.920757,26.908145,0.000001,1.071014,0.418704,29.377009
4500,0.400000,3,2,241311,2147120,144,0,0,0.929150,13.564936,0.146332,0.553604,0.419468,15.693447
4500,0.400000,3,4,241311,2147120,144,0,0,0.917207,7.614952,0.452103,0.498945,0.432196,10.050494
4500,0.400000,3,8,241311,2147120,144,0,0,0.930097,4.108815,1.020716,0.709770,0.423372,7.444679
4500,0.600000,3,1,241311,512803,9336281,1,1,0.928155,7.029294,0.000001,0.244917,0.503194,8.722227
4500,0.600000,3,2,241311,512803,9336281,1,1,0.910950,3.602745,0.177363,0.389329,0.520462,5.620396
4500,0.600000,3,4,241311,512803,9336281,1,1,0.951069,2.011947,0.527570,0.296162,0.502953,4.318476
4500,0.600000,3,8,241311,512803,9336281,1,1,0.919588,1.098324,1.236780,0.352888,0.509015,4.178053
4500,0.800000,3,1,241311,28652,16169142,1,1,0.932553,1.074176,0.000000,0.030112,0.039535,2.076940
4500,0.800000,3,2,241311,28652,16169142,1,1,0.838524,0.547177,0.011039,0.066145,0.039722,1.503416
4500,0.800000,3,4,241311,28652,16169142,1,1,0.863301,0.307017,0.037103,0.096368,0.039765,1.344761
4500,0.800000,3,8,241311,28652,16169142,1,1,0.839365,0.169779,0.078257,0.055284,0.040168,1.185481
4500,1.000000,3,1,241311,1,20250000,1,1,0.801042,0.681597,0.000000,0.011625,0.000538,1.494817
4500,1.000000,3,2,241311,1,20250000,1,1,0.788733,0.349194,0.000320,0.020600,0.000531,1.159393
4500,1.000000,3,4,241311,1,20250000,1,1,0.831006,0.206828,0.000957,0.001942,0.000638,1.041388
4500,1.000000,3,8,241311,1,20250000,1,1,0.864354,0.102886,0.001964,0.005010,0.000543,0.974773
5000,0.000000,3,1,241311,0,0,0,0,0.935049,0.029296,0.000000,0.026494,0.000055,0.990895
5000,0.000000,3,2,241311,0,0,0,0,0.947109,0.015171,0.000029,0.003295,0.000048,0.965653
5000,0.000000,3,4,241311,0,0,0,0,0.960102,0.008942,0.000063,0.001566,0.000052,0.970725
5000,0.000000,3,8,241311,0,0,0,0,0.969445,0.005909,0.000134,0.008202,0.000046,0.983735
5000,0.200000,3,1,241311,3038164,32,0,0,1.016733,42.107878,0.000001,0.616603,0.113570,43.917628
5000,0.200000,3,2,241311,3038164,32,0,0,1.067831,21.684193,0.039721,1.719317,0.114077,24.711947
5000,0.200000,3,4,241311,3038164,32,0,0,1.085055,11.865533,0.116659,0.582523,0.118915,13.915089
5000,0.200000,3,8,241311,3038164,32,0,0,1.042698,6.343573,0.274053,0.580748,0.117058,8.590597
5000,0.400000,3,1,241311,2651757,170,0,0,1.156903,38.085795,0.000001,0.393752,0.515529,40.225444
5000,0.400000,3,2,241311,2651757,170,0,0,1.108811,19.018779,0.174958,1.526432,0.519720,22.450162
5000,0.400000,3,4,241311,2651757,170,0,0,1.115415,10.499676,0.543093,1.047074,0.523446,13.908644
5000,0.400000,3,8,241311,2651757,170,0,0,1.107749,5.631977,1.302625,0.806904,0.530099,9.671545
5000,0.600000,3,1,241311,632939,11422095,1,1,1.131284,9.706828,0.000001,0.171872,0.675242,11.706204
5000,0.600000,3,2,241311,632939,11422095,1,1,1.177260,5.421373,0.240617,0.174280,0.681866,7.725133
5000,0.600000,3,4,241311,632939,11422095,1,1,1.198244,2.907874,0.723371,0.172767,0.681087,5.728178
5000,0.600000,3,8,241311,632939,11422095,1,1,1.178383,1.493056,1.669475,0.256028,0.681814,5.355230
5000,0.800000,3,1,241311,35441,19962940,1,1,1.095786,1.459421,0.000001,0.013050,0.049102,2.618199
5000,0.800000,3,2,241311,35441,19962940,1,1,1.173943,0.771918,0.019010,0.012615,0.046337,2.024965
5000,0.800000,3,4,241311,35441,19962940,1,1,1.086216,0.421928,0.048713,0.025327,0.046243,1.630429
5000,0.800000,3,8,241311,35441,19962940,1,1,1.099313,0.219675,0.120128,0.012797,0.046287,1.501080
5000,1.000000,3,1,241311,1,25000000,1,1,1.029302,0.870064,0.000002,0.001985,0.000692,1.902062
5000,1.000000,3,2,241311,1,25000000,1,1,1.020310,0.457195,0.000382,0.001948,0.000643,1.480497
5000,1.000000,3,4,241311,1,25000000,1,1,1.056620,0.243136,0.000991,0.001975,0.000607,1.303347
5000,1.000000,3,8,241311,1,25000000,1,1,0.988471,0.128437,0.002221,0.028102,0.000634,1.147882
500,0.000000,3,1,14314,0,0,0,0,0.062824,0.000306,0.000000,0.001358,0.000005,0.064494
500,0.000000,3,2,14314,0,0,0,0,0.058334,0.000361,0.000004,0.001396,0.000005,0.060100
500,0.000000,3,4,14314,0,0,0,0,0.060465,0.000391,0.000008,0.005328,0.000005,0.066197
500,0.000000,3,8,14314,0,0,0,0,0.046537,0.000625,0.000014,0.005116,0.000005,0.052298
500,0.200000,3,1,14314,30432,18,0,0,0.064098,0.048791,0.000000,0.004632,0.000998,0.119159
500,0.200000,3,2,14314,30432,18,0,0,0.050029,0.025325,0.000204,0.005122,0.001003,0.082531
500,0.200000,3,4,14314,30432,18,0,0,0.058576,0.014378,0.000976,0.023940,0.001000,0.100186
500,0.200000,3,8,14314,30432,18,0,0,0.047291,0.010384,0.002403,0.012720,0.001051,0.076195
500,0.400000,3,1,14314,26237,127,0,0,0.047989,0.045574,0.000000,0.006880,0.004736,0.105992
500,0.400000,3,2,14314,26237,127,0,0,0.058194,0.023675,0.001489,0.006088,0.004570,0.095051
500,0.400000,3,4,14314,26237,127,0,0,0.049774,0.013557,0.005078,0.006335,0.004592,0.080913
